mapid,municipality,county,barcode,edition,sheet,year,cd_title,image_id
1,CUMBERLAND,ASHFIELD,140594,1,1,1940,PMapMN02,14059401
1,CUMBERLAND,ASHFIELD,140594,1,1,1940,PMapMN02,14059402
1,CUMBERLAND,ASHFIELD,140595,1,2,1940,PMapMN02,14059501
1,CUMBERLAND,ASHFIELD,140595,1,2,1940,PMapMN02,14059502
2,CUMBERLAND,CANTERBURY,140580,1,1,1957,PMapMN03,14058001
2,CUMBERLAND,CANTERBURY,140580,1,1,1957,PMapMN03,14058002
2,CUMBERLAND,CANTERBURY,140562,1,2,1957,PMapMN03,14056201
2,CUMBERLAND,CANTERBURY,140562,1,2,1957,PMapMN03,14056202
2,CUMBERLAND,CANTERBURY,140567,1,3,1957,PMapMN03,14056701
2,CUMBERLAND,CANTERBURY,140567,1,3,1957,PMapMN03,14056702
2,CUMBERLAND,CANTERBURY,140566,1,4,1957,PMapMN03,14056601
2,CUMBERLAND,CANTERBURY,140566,1,4,1957,PMapMN03,14056602
3,CUMBERLAND,HURSTVILLE,140568,1,1,1954,PMapMN03,14056801
3,CUMBERLAND,HURSTVILLE,140569,1,1,1954,PMapMN03,14056901
3,CUMBERLAND,HURSTVILLE,140571,1,2,1954,PMapMN03,14057101
3,CUMBERLAND,HURSTVILLE,140572,1,2,1954,PMapMN03,14057201
3,CUMBERLAND,HURSTVILLE,140570,1,3,1954,PMapMN03,14057001
3,CUMBERLAND,HURSTVILLE,140570,1,3,1954,PMapMN03,14057002
3,CUMBERLAND,HURSTVILLE,140570,1,3,1954,PMapMN03,14057003
3,CUMBERLAND,HURSTVILLE,140579,1,3,1954,PMapMN03,14057901
4,CUMBERLAND,KOGARAH,104573,1, ,1951,PMapMN04,14057301
4,CUMBERLAND,KOGARAH,140578,1,1,1956,PMapMN04,14057801
4,CUMBERLAND,KOGARAH,140574,1,2,1956,PMapMN04,14057401
4,CUMBERLAND,KOGARAH,140574,1,2,1956,PMapMN04,14057402
4,CUMBERLAND,KOGARAH,140578,1,2,1956,PMapMN04,14057802
5,CUMBERLAND,MARRICKVILLE,140555,1, ,1940,PMapMN04,14055501
5,CUMBERLAND,MARRICKVILLE,140556,1, ,1940,PMapMN04,14055601
5,CUMBERLAND,MARRICKVILLE,140557,1, ,1940,PMapMN04,14055701
5,CUMBERLAND,MARRICKVILLE,140558,1, ,1940,PMapMN04,14055801
6,CUMBERLAND,RANDWICK,140584, , , ,PMapMN04,14058401
6,CUMBERLAND,RANDWICK,140587, , , ,PMapMN04,14058701
6,CUMBERLAND,RANDWICK,140587, , , ,PMapMN04,14058702
6,CUMBERLAND,RANDWICK,140586,2, ,1950,PMapMN04,14058601
6,CUMBERLAND,RANDWICK,140585,2, ,1951,PMapMN04,14058501
6,CUMBERLAND,RANDWICK,140541,2,4,1953,PMapMN04,14054101
6,CUMBERLAND,RANDWICK,140541,2,4,1953,PMapMN04,14054102
6,CUMBERLAND,RANDWICK,140541,2,4,1953,PMapMN04,14054103
6,CUMBERLAND,RANDWICK,140540,2,4, ,PMapMN04,14054001
6,CUMBERLAND,RANDWICK,140540,2,4, ,PMapMN04,14054002
6,CUMBERLAND,RANDWICK,140542,2,5,1951,PMapMN04,14054201
6,CUMBERLAND,RANDWICK,140542,2,5,1951,PMapMN04,14054202
6,CUMBERLAND,RANDWICK,140542,2,5,1951,PMapMN04,14054203
6,CUMBERLAND,RANDWICK,140544,2,5,1951,PMapMN04,14054401
6,CUMBERLAND,RANDWICK,140544,2,5,1951,PMapMN04,14054402
6,CUMBERLAND,RANDWICK,140544,2,5,1951,PMapMN04,14054403
6,CUMBERLAND,RANDWICK,140588,2,7,1951,PMapMN04,14058801
6,CUMBERLAND,RANDWICK,140589,2,7,1951,PMapMN04,14058901
6,CUMBERLAND,RANDWICK,140591,2,7,1951,PMapMN04,14059101
6,CUMBERLAND,RANDWICK,140590,2,8,1951,PMapMN04,14059001
6,CUMBERLAND,RANDWICK,140582,2,9,1950,PMapMN04,14058201
6,CUMBERLAND,RANDWICK,140583,2,9,1950,PMapMN04,14058301
6,CUMBERLAND,RANDWICK,140583,2,9,1950,PMapMN04,14058302
7,CUMBERLAND,ROCKDALE,140577, , , ,PMapMN04,14057701
7,CUMBERLAND,ROCKDALE,140577, , , ,PMapMN04,14057702
7,CUMBERLAND,ROCKDALE,140575,1,1,1951,PMapMN04,14057501
7,CUMBERLAND,ROCKDALE,140575,1,1,1951,PMapMN04,14057502
7,CUMBERLAND,ROCKDALE,140561,1,2,1952,PMapMN04,14056101
7,CUMBERLAND,ROCKDALE,140561,1,2,1952,PMapMN04,14056102
7,CUMBERLAND,ROCKDALE,140561,1,2,1952,PMapMN04,14056103
7,CUMBERLAND,ROCKDALE,140559,1,3,1951,PMapMN04,14055901
7,CUMBERLAND,ROCKDALE,140559,1,3,1951,PMapMN04,14055902
7,CUMBERLAND,ROCKDALE,140559,1,3,1951,PMapMN04,14055903
7,CUMBERLAND,ROCKDALE,140560,1,4,1952,PMapMN04,14056001
7,CUMBERLAND,ROCKDALE,140560,1,4,1952,PMapMN04,14056002
7,CUMBERLAND,ROCKDALE,140560,1,4,1952,PMapMN04,14056003
7,CUMBERLAND,ROCKDALE,140565,1,5,1952,PMapMN04,14056501
7,CUMBERLAND,ROCKDALE,140565,1,5,1952,PMapMN04,14056502
7,CUMBERLAND,ROCKDALE,140565,1,5,1952,PMapMN04,14056503
7,CUMBERLAND,ROCKDALE,140564,1,6,1952,PMapMN04,14056401
7,CUMBERLAND,ROCKDALE,140564,1,6,1952,PMapMN04,14056402
7,CUMBERLAND,ROCKDALE,140564,1,6,1952,PMapMN04,14056403
7,CUMBERLAND,ROCKDALE,140563,1,7,1952,PMapMN04,14056301
7,CUMBERLAND,ROCKDALE,140563,1,7,1952,PMapMN04,14056302
7,CUMBERLAND,ROCKDALE,140576,1,8,1952,PMapMN04,14057601
