mapid,county,parish,barcode,edition,sheet,year,cd_title,image_id
1000,BULLER,CAPEEN,149116,1,1, ,PMapGF02,14911601
1000,BULLER,CAPEEN,149117,3,1, ,PMapGF02,14911701
1000,BULLER,CAPEEN,105068,4,1,1919,PMapGF02,10506801
1000,BULLER,CAPEEN,105067,5,1,1924,PMapGF02,10506701
1000,BULLER,CAPEEN,107746,6,1,1939,PMapGF02,10774601
1001,BULLER,CARROLL,150101,1,1,1905,PMapAE02,15010101
1001,BULLER,CARROLL,150102,2,1,1916,PMapAE02,15010201
1001,BULLER,CARROLL,123227,3,1,1939,PMapAE02,12322701
1002,BULLER,CATARACT,150103,1,1,1887,PMapAE02,15010301
1002,BULLER,CATARACT,150104,2,1,1914,PMapAE02,15010401
1002,BULLER,CATARACT,123226,3,1,1936,PMapAE02,12322601
1003,BULLER,CLARENCE,150105,1,1,1884,PMapAE02,15010501
1003,BULLER,CLARENCE,150106,2,1,1904,PMapAE02,15010601
1003,BULLER,CLARENCE,150107,3,1,1919,PMapAE02,15010701
1003,BULLER,CLARENCE,123213,4,1,1932,PMapAE02,12321301
1004,BULLER,CLARIBELL,149118,1,1, ,PMapGF02,14911801
1004,BULLER,CLARIBELL,105065,2,1,1911,PMapGF02,10506501
1004,BULLER,CLARIBELL,107744,3,1,1926,PMapGF02,10774401
1004,BULLER,CLARIBELL,105066,4,1,1927,PMapGF02,10506601
1005,BULLER,COLONGON,150108,1,1,1892,PMapAE02,15010801
1005,BULLER,COLONGON,150109,2,1,1911,PMapAE02,15010901
1005,BULLER,COLONGON,123197,3,1,1928,PMapAE02,12319701
1006,BULLER,CORRY,150110,1,1, ,PMapAE02,15011001
1006,BULLER,CORRY,150111,2,1,1911,PMapAE02,15011101
1006,BULLER,CORRY,123190,3,1,1922,PMapAE02,12319001
1006,BULLER,CORRY,123192,4,1,1945,PMapAE02,12319201
1007,BULLER,COUTTS,149119,1,1, ,PMapGF02,14911901
1007,BULLER,COUTTS,105070,2,1,1909,PMapGF02,10507001
1007,BULLER,COUTTS,105069,3,1,1916,PMapGF02,10506901
1008,BULLER,CULLENDORE,150112,1,1,1887,PMapAE02,15011201
1008,BULLER,CULLENDORE,150113,2,1,1907,PMapAE02,15011301
1008,BULLER,CULLENDORE,123185,3,1,1921,PMapAE02,12318501
1009,BULLER,ELLERSLIE,149120,1,1, ,PMapGF02,14912001
1009,BULLER,ELLERSLIE,105060,2,1,1917,PMapGF02,10506001
1009,BULLER,ELLERSLIE,105059,3,1,1917,PMapGF02,10505901
1009,BULLER,ELLERSLIE,105058,4,1,1929,PMapGF02,10505801
100,ARRAWATTA,HOGARTH,150023,2,1,1908,PMapAE01,15002301
100,ARRAWATTA,HOGARTH,150024,3,1,1920,PMapAE01,15002401
100,ARRAWATTA,HOGARTH,150969,3,1,1920,PMapAE01,15096901
100,ARRAWATTA,HOGARTH,123070,4,1,1933,PMapAE01,12307001
1010,BULLER,EMU,149121,1,1, ,PMapGF02,14912101
1010,BULLER,EMU,105056,2,1,1905,PMapGF02,10505601
1010,BULLER,EMU,105057,3,1,1918,PMapGF02,10505701
1011,BULLER,EVANS,149122,2,1, ,PMapGF02,14912201
1011,BULLER,EVANS,107530,3,1,1921,PMapGF02,10753001
1011,BULLER,EVANS,105055,4,1,1911,PMapGF02,10505501
1011,BULLER,EVANS,105054,5,1,1917,PMapGF02,10505401
1011,BULLER,EVANS,105053,6,1,1938,PMapGF02,10505301
1011,BULLER,EVANS,105052,7,1,1939,PMapGF02,10505201
1012,BULLER,GILGURRY,123116,3,1,1922,PMapAE02,12311601
1013,BULLER,GIRARD,150115,1,1,1887,PMapAE02,15011501
1013,BULLER,GIRARD,150116,2,1,1889,PMapAE02,15011601
1013,BULLER,GIRARD,150116,2,1,1889,PMapAE02,15011602
1013,BULLER,GIRARD,150116,2,1,1889,PMapAE02,15011603
1013,BULLER,GIRARD,150116,2,1,1889,PMapAE02,15011604
1013,BULLER,GIRARD,123112,3,1,1905,PMapAE02,12311201
1013,BULLER,GIRARD,123113,4,1,1923,PMapAE02,12311301
1014,BULLER,GORE,150117,1,1,1886,PMapAE02,15011701
1014,BULLER,GORE,150118,2,1,1902,PMapAE02,15011801
1014,BULLER,GORE,150119,4,1,1921,PMapAE02,15011901
1014,BULLER,GORE,123097,5,1,1935,PMapAE02,12309701
1015,BULLER,JENNY LIND,149123,1,1, ,PMapGF02,14912301
1015,BULLER,JENNY LIND,105051,2,1,1908,PMapGF02,10505101
1015,BULLER,JENNY LIND,105050,3,1,1917,PMapGF02,10505001
1015,BULLER,JENNY LIND,107183,4,1,1931,PMapGF02,10718301
1016,BULLER,KANGAROO,150120,1,1,1886,PMapAE02,15012001
1016,BULLER,KANGAROO,150121,2,1,1904,PMapAE02,15012101
1016,BULLER,KANGAROO,150512,3,1,1919,PMapAE02,15051201
1016,BULLER,KANGAROO,150122,4,1,1919,PMapAE02,15012201
1016,BULLER,KANGAROO,123057,5,1,1932,PMapAE02,12305701
1017,BULLER,KOREELAH,150123,1,1,1886,PMapAE02,15012301
1017,BULLER,KOREELAH,150124,2,1,1895,PMapAE02,15012401
1017,BULLER,KOREELAH,123052,4,1,1915,PMapAE02,12305201
1018,BULLER,LINDSAY,149124,1,1, ,PMapGF02,14912401
1018,BULLER,LINDSAY,107662,2,1,1908,PMapGF02,10766201
1018,BULLER,LINDSAY,107663,3,1,1917,PMapGF02,10766301
1018,BULLER,LINDSAY,107664,4,1,1930,PMapGF02,10766401
1019,BULLER,MANDLE,150125,1,1,1886,PMapAE02,15012501
1019,BULLER,MANDLE,150126,2,1,1904,PMapAE02,15012601
1019,BULLER,MANDLE,123022,3,1,1917,PMapAE02,12302201
101,ARRAWATTA,HOLDFAST,126406,1,1,1879,PMapME01,12640601
101,ARRAWATTA,HOLDFAST,126405,2,1,1897,PMapME01,12640501
101,ARRAWATTA,HOLDFAST,126404,3,1,1916,PMapME01,12640401
101,ARRAWATTA,HOLDFAST,126403,4,1,1933,PMapME01,12640301
1020,BULLER,MARSH,150127,1,1,1886,PMapAE02,15012701
1020,BULLER,MARSH,123018,2,1,1911,PMapAE02,12301801
1021,BULLER,MARYLAND,150128,1,1,1887,PMapAE02,15012801
1021,BULLER,MARYLAND,150129,2,1,1904,PMapAE02,15012901
1021,BULLER,MARYLAND,150130,3,1,1914,PMapAE02,15013001
1021,BULLER,MARYLAND,123016,4,1,1930,PMapAE02,12301601
1021,BULLER,MARYLAND,123017,5,1,1939,PMapAE02,12301701
1022,BULLER,MEARIMB,149125,1,1, ,PMapGF02,14912501
1022,BULLER,MEARIMB,107666,2,1,1911,PMapGF02,10766601
1022,BULLER,MEARIMB,107665,3,1,1921,PMapGF02,10766501
1023,BULLER,PEACOCK,149126,2,1, ,PMapGF02,14912601
1023,BULLER,PEACOCK,105048,3,1,1912,PMapGF02,10504801
1023,BULLER,PEACOCK,105049,4,1,1915,PMapGF02,10504901
1023,BULLER,PEACOCK,105047,5,1,1922,PMapGF02,10504701
1024,BULLER,POCUPAR,149127,1,1, ,PMapGF02,14912701
1024,BULLER,POCUPAR,149128,2,1, ,PMapGF02,14912801
1024,BULLER,POCUPAR,149128,2,1, ,PMapGF02,14912802
1024,BULLER,POCUPAR,149128,2,1, ,PMapGF02,14912803
1024,BULLER,POCUPAR,149128,2,1, ,PMapGF02,14912804
1024,BULLER,POCUPAR,149129,2,1, ,PMapGF02,14912901
1024,BULLER,POCUPAR,105046,3,1,1911,PMapGF02,10504601
1024,BULLER,POCUPAR,105045,4,1,1915,PMapGF02,10504501
1024,BULLER,POCUPAR,105044,5,1,1926,PMapGF02,10504401
1024,BULLER,POCUPAR,105043,6,1,1939,PMapGF02,10504301
1025,BULLER,REID,150131,1,1,1886,PMapAE02,15013101
1025,BULLER,REID,150132,2,1,1904,PMapAE02,15013201
1025,BULLER,REID,150133,3,1,1922,PMapAE02,15013301
1025,BULLER,REID,122958,4,1,1932,PMapAE02,12295801
1026,BULLER,ROBERTSON,149130,1,1, ,PMapGF02,14913001
1026,BULLER,ROBERTSON,107731,2,1,1912,PMapGF02,10773101
1026,BULLER,ROBERTSON,149131,3,1, ,PMapGF02,14913101
1026,BULLER,ROBERTSON,104994,4,1,1924,PMapGF02,10499401
