mapid,run_number,run_name,barcode,map_no,sheet,division,cd_title,image_id
1000,46,ELI ELWAH,100649,573345,1,Central,PMapCent03,10064902
1000,46,ELI ELWAH,100649,573345,1,Central,PMapCent03,10064901
1000,46,ELI ELWAH,100648,573345,2,Central,PMapCent03,10064801
1001,150,ELLENGERAH,100448,573346,1,Central,PMapCent03,10044801
1001,150,ELLENGERAH,100448,573346,1,Central,PMapCent03,10044802
1001,150,ELLENGERAH,100447,573346,2,Central,PMapCent03,10044701
1001,150,ELLENGERAH,100446,573346,3,Central,PMapCent03,10044601
1002,715,ELONG ELONG,136241,573347,1,Central,PMapCent03,13624101
1003,288,EMU PLAINS,100166,573348,1,Central,PMapCent03,10016602
1003,288,EMU PLAINS,100166,573348,1,Central,PMapCent03,10016604
1003,288,EMU PLAINS,100166,573348,1,Central,PMapCent03,10016603
1003,288,EMU PLAINS,100166,573348,1,Central,PMapCent03,10016601
1003,288,EMU PLAINS,100165,573348,2,Central,PMapCent03,10016501
1004,322,ERINGANERING,100095,573349,1,Central,PMapCent03,10009501
1004,322,ERINGANERING,100094,573349,2,Central,PMapCent03,10009401
1005,100,ESPERANCE,100536,573350,1,Central,PMapCent03,10053601
1006,365,EUGLO,100013,573351,1,Central,PMapCent03,10001304
1006,365,EUGLO,100013,573351,1,Central,PMapCent03,10001302
1006,365,EUGLO,100013,573351,1,Central,PMapCent03,10001301
1006,365,EUGLO,100013,573351,1,Central,PMapCent03,10001303
1006,365,EUGLO,100012,573351,2,Central,PMapCent03,10001201
1007,656,EUGOURA,136348,573352,1,Central,PMapCent03,13634802
1007,656,EUGOURA,136348,573352,1,Central,PMapCent03,13634801
1007,656,EUGOURA,136347,573352,2,Central,PMapCent03,13634701
1008,466,EUNONYHAREENYHA,136721,573353,1,Central,PMapCent03,13672102
1008,466,EUNONYHAREENYHA,136721,573353,1,Central,PMapCent03,13672101
1008,466,EUNONYHAREENYHA,136720,573353,2,Central,PMapCent03,13672001
1009,11,EURIE EURIE,100718,573354,1,Central,PMapCent03,10071801
1009,11,EURIE EURIE,100718,573354,1,Central,PMapCent03,10071802
1009,11,EURIE EURIE,100718,573354,1,Central,PMapCent03,10071803
1009,11,EURIE EURIE,100718,573354,1,Central,PMapCent03,10071804
1009,11,EURIE EURIE,100717,573354,2,Central,PMapCent03,10071701
100,361,TOOLOOM AND WOODENBONG,101122,572406,1,Eastern,PMapEast05,10112203
100,361,TOOLOOM AND WOODENBONG,101122,572406,1,Eastern,PMapEast05,10112204
